label	d_fpssm0	d_fpssm1	d_fpssm2	d_fpssm3	d_fpssm4	d_fpssm5	d_fpssm6	d_fpssm7	d_fpssm8	d_fpssm9	d_fpssm10	d_fpssm11	d_fpssm12	d_fpssm13	d_fpssm14	d_fpssm15	d_fpssm16	d_fpssm17	d_fpssm18	d_fpssm19
1	0.017894737	0.006315789	0.005263158	0.011578947	0	0.003157895	0.008421053	0.012631579	0.004210526	0.02	0.02	0.003157895	0.015263158	0.007368421	0.018421053	0.016842105	0.005789474	0.012631579	0.006315789	0.017368421
1	0.008571429	0.010204082	0.004489796	0.012244898	0.003265306	0.004081633	0.009387755	0.002040816	0	0.019591837	0.017959184	0.006122449	0.013469388	0.00244898	0.013877551	0.006122449	0.004489796	0.004489796	0.001632653	0.018367347
1	0.02	0.016097561	0.006341463	0.006341463	0	0.010243902	0.011219512	0	0.005853659	0.016585366	0.016097561	0.015609756	0.010731707	0.013170732	0.003902439	0.015609756	0.007317073	0.02	0.011707317	0.012195122
1	0.013877551	0.006530612	0.005714286	0.008571429	0	0.008163265	0.009795918	0.009795918	0.002857143	0.012653061	0.011428571	0.006938776	0.007755102	0.004897959	0.002857143	0.02	0.008979592	0.000816327	0.003265306	0.010204082
1	0.01625	0.01	0.01125	0.01625	0	0.013125	0.01625	0.01875	0.00625	0.02	0.019375	0.00875	0.01375	0.01875	0.01	0.01375	0.011875	0.01625	0.01125	0.016875
1	0.011304348	0.014347826	0.006086957	0.006956522	0	0.016521739	0.02	0.007826087	0.000869565	0.016521739	0.014347826	0.016521739	0.01	0	0.006086957	0.007826087	0.005217391	0	0	0.015217391
1	0.018032787	0.006229508	0.000327869	0.004590164	0.001311475	0.010819672	0.005245902	0	0.007540984	0.003934426	0.006557377	0.003606557	0.005901639	0.00295082	0.000655738	0.006229508	0.003606557	0.002622951	0.002622951	0.00295082
1	0.0175	0.016666667	0.006666667	0.005416667	0.004166667	0.01	0.007916667	0	0.009583333	0.011666667	0.02	0.00875	0.01625	0.00625	0.003333333	0.01	0.005833333	0.004166667	0.0175	0.006666667
1	0.01	0.009166667	0.008333333	0.009166667	0	0.012083333	0.015833333	0.004166667	0.002083333	0.019166667	0.02	0.0125	0.0125	0.00875	0	0.009166667	0.01	0.001666667	0.00625	0.014583333
1	0.011612903	0.01483871	0	0.001290323	0.007741935	0.010322581	0.00516129	0.015483871	0.001290323	0.014193548	0.01483871	0.007096774	0.016129032	0.00516129	0.011612903	0.012258065	0.011612903	0.011612903	0.003870968	0.012258065
1	0.009454545	0.003272727	0.005454545	0.006181818	0	0.004727273	0.006909091	0.006545455	0.004363636	0.02	0.018181818	0.003636364	0.010909091	0.011272727	0.005818182	0.012363636	0.008	0.002181818	0.007636364	0.013818182
1	0.012777778	0.011111111	0.016111111	0.013333333	0	0.008333333	0.016111111	0.02	0.004444444	0.014444444	0.016666667	0.015555556	0.013333333	0.01	0.011666667	0.012222222	0.004444444	0.003333333	0.011111111	0.011666667
